Country Name,ISO,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5429.321055,5542.852529,5113.892295,4826.324636,4357.753957,3999.324127,4200.594883,4780.387121,5265.243908,5546.145097,6027.325186,6483.761082,6962.798228,7644.927706,8809.526945,10005.93725,11409.2556,12781.80909,14409.22188,14580.5808,15927.8747,17166.69564,17807.41774,18298.84706,18949.88244,18389.74375,18098.42286,18915.93989,19959.54272
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3319.801337,3753.947107,4231.755582,4527.050281,4537.8611,4543.834461,4545.930166,4617.175775,4661.528725,4955.77038,5533.400542,5758.002038,5977.127001,6481.932531,6787.499078,6994.789969,7341.864014,7426.25953,7616.532759,7533.770788,7688.617871,7830.225867,8026.172778,8052.794458,8323.893358,8519.200276,8388.182053,8500.4448,8786.494801
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26316.04395,26380.04639,27161.14858,28488.04617,29068.52928,30762.70948,31935.88484,33774.26287,35226.7199,36737.95886,40694.79221,44112.32699,43861.57041,45898.5812,47914.37378,49909.88091,53960.55659,56666.44157,58305.37931,55337.67603,55241.0749,54984.51039,53137.21507,52547.33309,,,,,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402.712724,2560.109653,2606.011168,2723.858298,2851.833502,2985.649937,3108.910438,3253.047509,3387.130919,3383.709596,3478.202471,3546.116063,3623.09177,3721.055939,3909.065039,4134.616513,4386.565455,4629.682798,4925.91967,5045.331273,5228.115329,5524.717798,5825.139985,6231.296345,6593.232982,6882.488916,7147.83921,7480.077141,7859.281711
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6710.966209,6919.982803,6925.381608,7297.685607,7723.901559,8102.670583,8300.246791,8594.563499,8588.36025,8624.439419,9073.979181,9274.249917,9581.99524,9747.943484,10460.55325,11004.95894,11659.3957,12568.20105,13332.14721,13288.43881,14320.37228,15061.95663,15506.56171,16111.44374,16358.39086,15813.87326,15331.55058,15662.24702,16068.01996
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9164.713223,9070.207201,8596.741791,8874.596572,9370.967336,9722.058109,10250.57056,10875.25771,11360.35242,11514.26118,12247.67412,12174.59166,12424.11156,12885.71497,13372.24446,14283.00628,15484.71761,16110.20662,16370.61729,15774.81489,15942.74653,16333.19912,16651.29353,16909.51838,17200.53861,17510.97601,18027.95831,18526.00856,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54959.66686,56957.04564,59315.49556,59221.62765,60713.3777,63092.95787,64468.37649,63095.77642,62020.90941,63432.25556,65305.76557,67184.3545,69510.20853,71514.39372,72549.22496,73930.4777,78411.6146,79631.19236,78670.55795,76961.8122,78907.87122,82502.9353,83725.42103,82263.49831,80782.0315,80177.75612,78134.66652,79789.60509,80777.55067
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.318005,1561.268532,1670.680164,1750.523298,1878.897652,2043.535699,2168.991473,2281.792061,2389.082202,2555.91735,2732.094868,2957.917397,3260.192366,3507.934568,3749.241431,4078.035954,4430.006895,5304.218315,5608.407567,5967.750808,6674.86282,7269.343133,7692.581537,7897.854494,8405.269696,8949.837059,9656.339262,10173.05107,10516.27721
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516.982749,5946.129686,6088.138275,6190.382225,6392.272416,6818.180804,7174.163729,7722.300075,7667.659791,8347.874331,8528.969125,8574.343766,9076.228393,9506.492466,9849.796995,10421.37193,11401.3476,12409.29787,13158.84871,12007.23239,12964.35144,13838.60282,14558.06641,16310.10289,17092.12224,16724.51778,17314.7804,17784.85581,18582.96654
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.673007,639.24786,595.1240085,593.8260264,618.1903624,658.1958458,626.7927287,654.7290067,676.6514145,694.6384334,676.8110417,706.6981799,728.1662565,687.3649048,733.3177347,748.1942658,791.9856238,834.5316894,852.9298062,919.4085589,962.2919722,1016.218552,1083.689925,703.4924104,715.0327447,750.7770135,789.1651917,829.3464981,871.5214207
